id,text,Offensive,HateSpeech
16,@USER وين الحش ؟<LF>اذا فهمته هو واشكاله ان زمن جلسه البيت انتهى وولى صار حش ؟<LF>وبعدين وش نظام سواليف البزران هذي؟<LF>اكبر ياخي 😷,NOT_OFF,NOT_HS
17,@USER انا كم مره اقولكم مو عيب اللي تسوونه؟ الكذب على الناس حرااااااااام 🙄👊🏻,NOT_OFF,NOT_HS
18,@USER LOL <LF>شمشوم تحت المجهر. <LF>بن عمي شوف انا لو خاصمك تصعب علي<LF>لو بدك محامي انت بس تطلب 🙉,NOT_OFF,NOT_HS
19,وووووووووووووووو رومان رينز 😂❤️👊🏻 #EleminationChamber URL,NOT_OFF,NOT_HS
20,@USER ان شاء الله يرفع عليك وعليهم قضيه وتنجلدين من اهلك 🌚🔪,NOT_OFF,NOT_HS
21,@USER يلاا مشينا 💜💜💜💜🌏🐸,NOT_OFF,NOT_HS
22,ترند بتويتر لعنبو ابليسكم خلو المسلم بحالة شهرتو به 😠  #بايع_الكليجا,OFF,NOT_HS
23,➺🌸┊↷<LF><LF>⠀┊<LF><LF>لن تحــصــل علــى غــدٍ افــضل مادمــت تفــكر بالامــس🥀. 🚶👌<LF>       <LF>   ​•   _______________⠀<LF>⠀⠀⠀⠀⠀⠀👍 👎<LF><LF>  💗⠀▸ URL,NOT_OFF,NOT_HS
24,@USER بهذذذذدي .. صدقت  قسم محد يفرح لك الااا اللي يحبك<LF>او من رحم ربي 👍🙊🙈🙉 URL,NOT_OFF,NOT_HS
25,@USER دكتور فارس بتفرقكن راح تخلو التيار وحدو يجيب الحاصل 😡,NOT_OFF,NOT_HS
26,تعوسي عطاني فولو دخلت صفحته و اشوفه كاتب انو ساقطات اللي خقو على بايع الكليجا وطايح قذف فيهم و حسابه الحقير كله اباحيات 🤢 استشرافه صنفه قوي عطيته بلوك,OFF,HS1
27,@USER ١٦٠ الف كيلو هذه اجيبها في ٣ سنين <LF>بتضحكو على مين !!!!! قال الضمان ٨ سنين قال 👎🏻,NOT_OFF,NOT_HS
28,اختفى مروان تلودي طلعوا جولي شيك و القرشي 😷,NOT_OFF,NOT_HS
29,اليوم الجوى اكثر من رائع ....🌹❤️🌺👊🏼☕️ URL,NOT_OFF,NOT_HS
30,RT @USER #افضح_معنفك 🔞!!!<LF><LF>لا يوجد اشد من هالفضيحه <LF>( بشار ) 🔪<LF>اللهم ارحم شهداء الوطن الأبرار🕋 <LF>دعواتكم <LF> لعل الله القوي الجبار الم…,OFF,NOT_HS
31,RT @USER تخيل نحتفل بالتعادل<LF>مع فريق<LF><LF>جزمة ابو نوران <LF>أكبر من تاريخهم <LF>😂🐸😂🐸😂 URL,OFF,HS3
32,"حاط صورة حسن نصر الله<LF>ويقول "" اهل الكويت الاصليين "" !<LF><LF>الطم ؟ 😂👊🏽<LF>ٰ URL",NOT_OFF,NOT_HS
33,RT @USER #رسالة_السيسي_بالزي_العسكري<LF>الرئيس السيسى<LF>لرئيس الأركان<LF>يامحمد عايزك تشيل<LF>الإرهابيين من على<LF>وش الأرض👊<LF> 👈 #بكل_عنف_وقوة💪<LF>اح…,NOT_OFF,NOT_HS
34,مبروووك @USER عاد ٣ كان خليتوها ٤ <LF>@USER  ترا حتى وضاح خسران اندية لندن 👎🏻,NOT_OFF,NOT_HS
35,@USER انا ما اسافر بعيد التحرير 😣,NOT_OFF,NOT_HS
36,اكره شي في الحياة تطلع من بيتكم متسبح ومتعطر ومتزقرت وتدخل بوفية وفوق هذا العامل قاعد يقلي فلافل خلاص الحين وش يخلص اليوم ابي بس ارمي الثوب احسني صرة فلافلة 😷💔😅,NOT_OFF,NOT_HS
37,@USER نه😡,NOT_OFF,NOT_HS
38,@USER كسرتيني ي غيدا 😭😭 تحبين من وراي؟؟ ليه تخونيني😔😔😔🔪💔🤦🏽‍♀️😭,NOT_OFF,NOT_HS
39,@USER جاتني كتمه ، ٣ مواد ليه ؟! 😷💔💔💔💔,NOT_OFF,NOT_HS
40,@USER الشمال 😣,NOT_OFF,NOT_HS
41,@USER قلتي له يا الضرح واي اعتداء على عضيدي اعتداء علي و الرد بيكون شديد 🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪,OFF,NOT_HS
42,@USER لحول انت جالس لي فكل شي اكتبه😕👊,NOT_OFF,NOT_HS
43,@USER ليش هالحقد ما عندنا احد في النص 👊🏻,NOT_OFF,NOT_HS
44,@USER شكله مافهم معنها😂😂🔪,NOT_OFF,NOT_HS
45,RT @USER #بايع_الكليجا<LF>راح تتغير طريقة اكل الكليجا ..<LF>البنت تبوسها ثم تأكلها...😉<LF>الولد يدبجها ثم ياكلها..😠,NOT_OFF,NOT_HS
46,@USER ليه بس انت حبيبك كتير 😂😂👊,NOT_OFF,NOT_HS
47,RT @USER سبحان الله ناس تجري و راها الشهره 😏<LF>و ناس تجري و را الشهره 🐸<LF>العالمية تعني اكسو 😌<LF> #EXOL #BestFan…,NOT_OFF,NOT_HS
48,@USER ماش 👎🏻,NOT_OFF,NOT_HS
49,جد يعني باجر دوام🔪🔪,NOT_OFF,NOT_HS
50,@USER للاسف انهم يكذبون كما يتنفسون لأنهم 🐗🐗🐗🐑🐑🐑🐑🐑🐏🐏🐏🐏🐏,OFF,NOT_HS
51,RT @USER افا يا الطرش يا التركستاني🐸<LF>طلع لك لسان وتتجرا تتكلم عن المنتخب السعودي,OFF,HS1
52,RT @USER أقوى شي يسد النفس 😷<LF><LF>تجلس مع واحد ياكل تمر ويمصمص أصابعه <LF><LF>ويرجع يقلب التمر و ينقي<LF><LF>😳 و يقولك :<LF>شفيك ما تهبش ...<LF> <LF>هبشك كيبل كه…,OFF,NOT_HS
53,@USER مايدرسون جغرافيا 👎🏻,NOT_OFF,NOT_HS
54,ايمتى يخلص هالشهر                                                     والله لو إنّو 31 يوم 😷,NOT_OFF,NOT_HS
55,ميووووت 🐸,NOT_OFF,NOT_HS
56,@USER اقسم بالله اني اشوف انك تاكل تبن أحسن لك ياطبل ياطار للبنات والفساد انطم ياذكر بعيد كل البعد عن الرجوله ياحيف بس اذا عاجبك اللي صار ليه ماوديت اهلك وخليتهم يعطون رايهم ويصورون ولد الناس اللي ابتلش من اللي تصفق لهم الخلا مير الخلا ياتسلب👎🏻,OFF,HS6
57,#بايع_الكليجا قلة أدب وادوختونا صدق🤢,OFF,NOT_HS
58,بيجيبون لي امراض الدنيا وانا توني بعمر الزهور💩💔💔💔💔💔💔💔,NOT_OFF,NOT_HS
59,#بايع_الكليجا <LF><LF>الله يفضحكم فضحتونا بين العربان 😷,OFF,NOT_HS
60,#بايع_الكليجا ي بنات وش ذا حسبي الله عليكم <LF><LF>أتقوا الله وأرتقوا ،،، أيش كمية الانحطاط بالتاق 👎🏻<LF><LF>( مَا يَلْفِظُ مِن قَوْلٍ إِلا لَدَيْهِ رَقِيبٌ عَتِيدٌ ),OFF,HS6
61,@USER بسم الله علي 🔪,NOT_OFF,NOT_HS
62,@USER طيب لا تدف 😤🤣,NOT_OFF,NOT_HS
63,@USER حقش حق وحق الناس مرق😤😤😤😤,NOT_OFF,NOT_HS
64,@USER رخم 😂👊,OFF,NOT_HS
65,الي يبيع الكليجا لابس كمام 😷<LF>من ريحة اديوسهن وريحة اباطهن المعفنه الله لايلومك <LF><LF> #بايع_الكليجا,OFF,HS5
66,@USER ممحون 🐶🐕,OFF,NOT_HS
67,بعض الأشخاص بسبب إنجازاتهم يستحقون كتاب شكر 📜 يحتوي صورة شخصية بفلتر (م ط ي🐴),NOT_OFF,NOT_HS
68,@USER بس يا بنت 😠😠😠,NOT_OFF,NOT_HS
69,رسالة الرئيس <LF>عبد الفتاح السيسي <LF>لرئيس الأركان من مقر القيادة بشرق القناة <LF>يامحمد عاوزك تشيل الإرهابيين من علي وش الأرض 👊,NOT_OFF,NOT_HS
70,@USER بس اخاف نصاب بالسمنه😣😣😣😣😣😣,NOT_OFF,NOT_HS
71,RT @USER وياريت كلنا نواسى أصحاب الجيوب الأنفية وحساسية الأنف والصدر ، لأنهم يتعذبون الآن 😧😷😢,NOT_OFF,NOT_HS
72,RT @USER إذا كان ع التفاح ي آبل مفيش اكترمنه😂😂👊 URL,NOT_OFF,NOT_HS
73,حد لاقي ياابني 😂👊 URL,NOT_OFF,NOT_HS
74,@USER الهاجوس يابو فارس ماريحنا متاملين فيه خير 😷,NOT_OFF,NOT_HS
75,RT @USER بغسلهم عقب ماغسل شراعكم انتما معاً بارك الله فيكما😡😏,NOT_OFF,NOT_HS
76,شكلي بس انا الوحيدة اللي اكره الشيلات 😷,NOT_OFF,NOT_HS
77,#بايع_الكليجا <LF>مدري وشفيهم النسوان انهبلووو هبل اقسم بالله ..تقليد + مرض شهره ما تدري وش تسوي ومرض اخر التخريب انا خربانه خرب الشله 🙃😷,OFF,HS6
78,@USER من جد 🤢,NOT_OFF,NOT_HS
79,@USER بنظفونها وبيرجع الغبار 😷🌚,NOT_OFF,NOT_HS
80,@USER ليه الافتري دا ✋ 😓 👊 😂 💔,NOT_OFF,NOT_HS
81,الحقيقه والله شي مخجل اللي شفته<LF>كمية جرأه مقززه في البنات بشكل لايوصف<LF>وين الحياء والحشمه؟<LF>الظاهر ماعاد به حياء ولا حشمه في الجيل هذا إلا ما رحم ربي 😷<LF>#بايع_الكليجا,OFF,HS6
82,@USER لا والله ياخوي محد يرضى 👎🏻👎🏻👎🏻,NOT_OFF,NOT_HS
83,#الكووره_للعيال <LF><LF>ككوولوووزززققققققق 😊💩💩.,OFF,NOT_HS
84,@USER يارجال انت لو خايف على مصلحة الاتحاد مافتحت الموضوع الى مابعد بطوله الملك للاسف كنت احترمك كاعلامي اتحادي 👎🏿,NOT_OFF,NOT_HS
85,@USER انتي هتقوليلي 😂😂👊✊,NOT_OFF,NOT_HS
86,RT @USER ماابي احلف بس واثق تماما ان وجودي مسبب لأغلبكم سعاده كلامي صح ولا اكيد!؟🌚🔪,NOT_OFF,NOT_HS
87,"@USER لا والله انها قليلة ذوق تنظر لرجل غير زوجها . وعيب اساس تنظر لشخص غير زوجها اساس شكلها وهي متخرفنه ع بايع ذا اكبر قذرة واكبر قله ادب نعم اهجدو مذابكم ورب الكعبه ي اخواني عندي انهم اجمل من وجهه مليون مرا عادي جدا مااشوف جمال الى تشوفونه زعجتونا ترا ""هه بس👊🏻👊🏻.",OFF,NOT_HS
88,#بائع_الكليجا تعليقي هو : ياتبارك الرحمن لا إله إلا الله 🤢,NOT_OFF,NOT_HS
89,#اصدقا_الوناسه_وينهم في البحرين 👎😾 URL,NOT_OFF,NOT_HS
90,٣ ايام وانا احلم احلام 💩,NOT_OFF,NOT_HS
91,@USER واللي جالسين في فنادق الرياض ثلاث سنوات ويستنزفون التحالف وش تسميهم!! عليكم من الله ماتستحقون 👎,OFF,NOT_HS
92,بعض مصطلحات ال amrican slangs<LF><LF>An arm and a leg =  غالي جدا<LF>Ants on your pants = متوتر جدا لدرجة انه لايستطيع الجلوس وكأن فيه نمله في بنطلونه😂<LF><LF>Armpit = الابط وهذي تستخدم للتعبير عن النتانه والقذارة 😷<LF><LF>At the end of rope= متورط للغاية على قولة المصريين حبل المشنقة لاف حول رقبته,OFF,NOT_HS
93,@USER عيش ياااابطال 👊👍💪☝<LF>كلها 4/1 وهكون من الأبطال <LF>اقول اية علينا دولت اقول اية..,NOT_OFF,NOT_HS
94,المشاوير 🤢🤕,NOT_OFF,NOT_HS
95,@USER لو فهمت غلط  م قلت صديقي 😂😂😂🔪,NOT_OFF,NOT_HS
96,#صلاه_الجنازه_القادمه_انت<LF>المستدعشين فاهمين النصيحة غلط 👊🏻,NOT_OFF,NOT_HS
97,@USER انتم تسمعوني ولا تستهبلون؟!<LF>مادريت عن حق الكلجا ذا الي طفشتونا فيه ولا اهتميت له<LF><LF>كلامي عن وصفك بان لا نبوة للنساء لانهن غير وفيات <LF>تقدر تنتقد تصرف البنات دون التقول في الدين يا مقطعين الوفاء<LF><LF>فهمتوا؟ تعتبت وانا اشرح🔪,OFF,HS6
98,قلتله مسامحه 😣😟اني<LF><LF>كلمة وقالها لساني<LF><LF>بس بقلبي شي ثاني<LF><LF>منه تعبانة وخسرني🤣🤣🤣,NOT_OFF,NOT_HS
99,RT @USER #نبي_قصه_عشق<LF>قصه عشق احلى موقع مسلسلات😹😹👊🏻,NOT_OFF,NOT_HS
100,يا شين الخليجي اذا سوى فيها مهند 😷🤮🤢🤧🤯 URL,OFF,NOT_HS
101,@USER وش قلة الادب هذي ؟ 😳😷,OFF,NOT_HS
102,😡تعبت من الوزن الزائد تريد تنحف..💪😍 راسلني خاص📨💙 وابعت وزنك وطولك ...ولك الحل🔥🔥💛<LF><LF>#صلاه_الجنازه_القادمه_انت<LF>#اصدقا_الوناسه_وينهم<LF>#السعودية_عز_وفخر<LF>#اصدقا_الوناسه_وينهم<LF>#بايع_الكليجا URL,NOT_OFF,NOT_HS
103,@USER وش فيك يا مطحون 😂😂👞 URL,NOT_OFF,NOT_HS
104,@USER لسه بتآوح😡,NOT_OFF,NOT_HS
105,#بايع_الكليجا الحمدلله والشكر افتكينا من خرفان ايفانكا جونا خرفان بايع الكليجا😷.,OFF,NOT_HS
106,@USER وتت ذا قاع يقذف 🌝🔪,NOT_OFF,NOT_HS
107,@USER مظنش 💔 😂 متزوج بقاله شهر ونفسه يتزوج الرابعة 💔😂👊,NOT_OFF,NOT_HS
108,RT @USER كنا مغشوشيين فيهم باخلاقهم  ومذهبهم الدموي😣,OFF,HS3
109,@USER بعيد عن سوء كلامه<LF>ليته بس على ترفعه عن المرأه يحسن من سلوكياته وتصرفاته<LF>مشيته كنه بنت<LF>وتصرفاته ورقصه😷,OFF,NOT_HS
110,@USER فضحتينا👊🏼,OFF,NOT_HS
111,@USER اتعس شي بعد المباراة وانت خسران و مغبون تشوفه ينزل الملعب و يسلم على اللاعبين و يتبوسم و الوضع طبيعي عنده 😡,NOT_OFF,NOT_HS
112,@USER يع خلاص تومتش !!😐🤢,NOT_OFF,NOT_HS
113,@USER والله يعينش على نفسش ❤️🐑🐑,NOT_OFF,NOT_HS
114,@USER فعلاً اععععع 🤮,NOT_OFF,NOT_HS
115,@USER هههههههههههههههه خلاص على كذا ماراح انام بدري😂👊,NOT_OFF,NOT_HS
116,@USER اههاا يعني يالحريم خقو علي تراي معكم .. ياكثرهم 😂💩💩,NOT_OFF,NOT_HS
117,@USER ان كان لك حق انا م كان لك حق بتجي فيكك ي قذر 👊🏽,OFF,NOT_HS
118,RT @USER اسوء الرجال من يتحدث👎🏻<LF>عن محبوبتنه للاخرين 😔<LF>ليجعل منها فريسه سهله💔💔,OFF,NOT_HS
119,@USER بس بقى 👊👊👊👊,NOT_OFF,NOT_HS
120,الواضح انه صباح 👎🏻,NOT_OFF,NOT_HS
121,RT @USER الهندي قاعد يثبت للمعزّب إن الخروف 🐑صار صديقه حتى ما يذبحه 😂 URL,OFF,HS1
122,@USER كبيه الله لايسامحه كلب يعاملنا على انحن دجاج 🔪🔪,OFF,NOT_HS
123,@USER 😣😣😣😣😣الله ينقص ويزيد,NOT_OFF,NOT_HS
124,@USER احسن 👊😁,NOT_OFF,NOT_HS
125,@USER صوت اللي تصور🤢,NOT_OFF,NOT_HS
126,@USER طيب ليش حاطه التسليم قبل الدفع 🤔 المفروض ادفع بعدين استلم بس طريقتها مضحكة و غبية 😂😂😂😷,OFF,NOT_HS
127,انا مش عارفه اي عدم الحياء الي الناس بقت في ده 😡😡😡,OFF,NOT_HS
128,عنز 🐐🐐,OFF,NOT_HS
129,@USER هههههههههههههههههههههههههههههههههههههههههههه خططي وارسمي عليه لاتخلينه يضيع 🔪😤,NOT_OFF,NOT_HS
130,@USER اي 🙂🔪,NOT_OFF,NOT_HS
131,يالله صباح خير الواحد يرسل شي جميل تخيل بس تبدا يومك بالاهلي اي شوم بالله عليك 🐸<LF>#الاهلي,NOT_OFF,NOT_HS
132,غالبيتكم عملاء لذا الاحتلال جاثم فوق رؤوسكم😡👎 URL,OFF,HS3
133,@USER لا عاد هو يسوي نفسه انا المز😷😂,NOT_OFF,NOT_HS
134,@USER نتعوذ من الشيطان 🤢🙂🔪,NOT_OFF,NOT_HS
135,RT @USER #اصدقا_الوناسه_وينهم<LF> اداع 4768940000مليون في حسابك😌<LF>اقروا الرقم زين وقولوا امين بلاش حسد😕🔨🗡<LF><LF>😂👊🏻,NOT_OFF,NOT_HS
136,اللي يشوف كلام هيلاري راح يحط 👞 بفم كل واحد ينكر وجود مؤامرات ضد دولتنا والدول المجاورة وما ان تنتهي مؤامرة تكون دستة مؤامرات جاهزة ضدنا<LF>طبعا اذنابهم بيننا تعتبرهم هو الاستثمار الحقيقي على المدى البعيد غير الاعتراف شبه الحقيقي بخلق داعش ومساعدة الاخونج عليهم اللعنة جميعا,OFF,HS3
137,يا الله بختنق 🤢,NOT_OFF,NOT_HS
138,@USER خلاص اشغلتنا 🤢,NOT_OFF,NOT_HS
139,@USER سحبتوا مني لكن ما جاء شي ع الايميل 😡💥 URL,NOT_OFF,NOT_HS
140,@USER يستااااار 👊 👊,NOT_OFF,NOT_HS
141,@USER ايفانكا كلنا ندري طقطقه ولاهي داريه عن هوى دارهم بس اللي م يستحون هذا سعوووووودي احرجوه واحرجوا اهله منجد ان لم تستح فأفعل ماتشاء تربيه👎🏽,OFF,NOT_HS
142,@USER والله مافيه مسعورين زي العيال 🤮,OFF,NOT_HS
143,@USER انتي ماقلتي شي بهالمناسبه 👊,NOT_OFF,NOT_HS
144,@USER تاريخهم اسود من يومهم الله يجعلهم من كذا واردى👎,OFF,NOT_HS
145,زعلت زيادة لأني ماشفت وجهك كثير👎🏻,NOT_OFF,NOT_HS
146,لا مش وكده وبس لما روحت الجامعه اكتشفت ان انا محضر جدول التلات مش الاتنين وعليا النهارده رسم 😤😤😤,NOT_OFF,NOT_HS
147,#تميم_قايدنا_وحمد_عدونا  الحمدالله اني مو قطريه 😩😷😷😷😷😷😷,OFF,HS1
148,RT @USER طيب لاتصيحح يا اخوي ترى الدعوة كرة قدم 😂😂🐸,NOT_OFF,NOT_HS
149,@USER وينه دا وينه جبوولي هوا اتفاهم معاه 😡😡😡😡,NOT_OFF,NOT_HS
150,@USER يااااو فديت الخشه 😄👊🏻,NOT_OFF,NOT_HS
151,@USER فعلا كلشي بسببها بس يالي قهرني هي بتتكلم و الكاميرا عليها طول الربورتاج بس بارش لا كانو هي النجمة لامعة و بارش الحارس 💂 الشخصي ليش هذا الانحياز في الصحافة ليش نسيو نجومية بارش و شعبيتو في تركيا راحت الهيبة بتاع بارش 😥صحافة تافهة صراحة 😒 👎,OFF,NOT_HS
152,@USER 👊😂😂😂😂ياارب بس متاخدكيش الجلاله تانى وتقاوحينى لما اقولك هتكسلى بعد كده😂😂💔,NOT_OFF,NOT_HS
153,@USER انتي بتفضحي البت هنا عشان مش هتشوفها👊😂😂😂😂😂😂😂😂,NOT_OFF,NOT_HS
154,@USER لقطة جولاق ما حمستني قهرتني😭💔💔<LF>الصور =💩,NOT_OFF,NOT_HS
155,شعب الله المُتحَشِر🤮,OFF,NOT_HS
156,صباح الخير 💩.,OFF,NOT_HS
157,RT @USER بينما انا قاعدة بالبنك ناطرة دوري 😊، سمعت موظفة عّم تلقي محاضرة طبية لزبون سعل عدة مرات قدامها 😷و بلشت تحكيلو عن فوائد الدوش…,NOT_OFF,NOT_HS
158,RT @USER عشت فى البلد سنيين طوال وشفت فيها استفتاءات وانتخابات  عجيبه وغريبه بس عمرة ما شفت فى سخافه اللى بيحصل الان 😡,NOT_OFF,NOT_HS
159,@USER 😤واللي تقصر عباته شبرين وتطلع بعد طويلة,NOT_OFF,NOT_HS
160,أوكي مو كل عطر رجالي يناسب بنت !!!! 😷💔,NOT_OFF,NOT_HS
161,@USER نصاب لااحاد يشتري تفو عليك يالجزمه 🖕,OFF,NOT_HS
162,اوفففففر عااد 😡 بعض الحريم مادري بهم شفاحه ولا قلة ادددب ؟؟؟؟ عيب والله!!!! URL,OFF,HS6
163,@USER شوفي #بوعصا شن كاتب😷,NOT_OFF,NOT_HS
164,تبقى معدية ماتسلمش عليا عينها فعنياااا ينفع كدا يرضيكوا كذا لاااء لااءء لا لااء 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,NOT_OFF,NOT_HS
165,RT @USER صارت لي بالثانوي ! جيت متاخر ٧ وقالت طالعه مع واحد؟ المشكله اهلي موصليني المدرسه وانا كنت غبيه ساكته ماعرف اتكلم 😡…,OFF,NOT_HS
166,@USER مرة الجاية ختي Tag بدل تخلينا نفتش في الFollowing بتاعك 😡❤️,NOT_OFF,NOT_HS
167,@USER ياريت  😂😂🐸🙈❤,NOT_OFF,NOT_HS
168,دعايات زعل وخضرا ع التلفزيون الاردني بتمغص 😷😷😫,OFF,NOT_HS
169,@USER برافو يا مريسيل اقسم بالله انك أذكى اعلامي<LF>يقولكم  الدوري 💙 بالريوس 😂<LF>يا جمهور الأهلي اتركو #المريسيل_يتكتك<LF>هذا تكتيكه للدوري ليتحول للاهلي💚<LF>الآسيوية أضاعها الهلال بسبب المريسيل جعلهم يعيشون في وهم ترشيحه لهم<LF>وسقطو في متاهات ومصيدة المريسيل كالعاده 😂<LF>واكلهم اوراوا ساده 😂🐒🍌,OFF,HS3
170,@USER تقلقن حنوكك انت وياهم همداكم قسم اني مشغول واشغلتوني 😤👐😂,NOT_OFF,NOT_HS
171,وش هالشفاحه والانحطاط بالتاق من اغلب البنات ، حتى لو العيال تغزلو ببنت ترامب وغيره من اعذاركم السخيفه ، نظل بنات !!<LF>عجبك امدحي بنفسك وبين اللي حولي مو لازم كل العالم تعرفك انك مشفوحه الله لا يبلانا 😷 #بايع_الكليجا,OFF,HS6
172,RT @USER ألحظه السعاده ...ياويلكم ياعذال ..تهزاوا مكاني ..واصل حدي ههه😆😆<LF>كلام عادي وربي في الزمن مردوا غدار في الشيطنه ...😣😟,NOT_OFF,NOT_HS
173,ابعتيلى طيب 😂👊🏼 URL,NOT_OFF,NOT_HS
174,ياخي اللي يقولون انها كلمات محسن بن تركي اشفييه ترا لو صدق بيقولون ماهي جريمه يعني وبعدين هاني يبي شو منجد السالفه من البارح وباقي للحين🔪💔<LF>#حياتك23,NOT_OFF,NOT_HS
175,RT @USER أمه في البيت كانت تناديه سلوم<LF>يعصب 😤😤<LF>يقول لا تقولين سلوم اسمي سليمان 🕵🏻‍♂<LF><LF>والحين خطيبته تناديه : لومي <LF>يرد عليها : اعصريني ل…,NOT_OFF,NOT_HS
176,ايه الفراغ ده 😂😂🐸 URL,NOT_OFF,NOT_HS
177,RT @USER واللى استجدعنا معاهم💪🏻<LF>طلعوا مش صافيين من جواهم.👌🏻👎🏻👎🏻,NOT_OFF,NOT_HS
178,@USER ماتجي ي بااااااااااااااااااااااااااااااااااااااع 🐑,OFF,NOT_HS
179,@USER قاعد تشد وجهك وتلوي فمك وخشمك عشان تبان الغمازه مدري الحفره الي بوجهك 😷 ونظام خالف تعرف عشان رتويت يحمار الغلط غلط على الانثى والذكر مو عشان العيال سوو غلط خلاص البنات يسون مثلهم وثاني شي الرجال ازعجوه برزقه وبالنهايه لو تعصر وجهك من هنا الى بكره ماراح تكون زين وتتميلح 😷 URL,OFF,HS6
180,#بايع_الكليجا<LF><LF>عطيتم الحرية وللإسف 👎🏻 تصرف غير لائق ابدا ....,NOT_OFF,NOT_HS
181,@USER يقرف عمرك ياباسل 😷😷🙈🙈🙈,OFF,NOT_HS
182,@USER 🙈🙈🙈🙈🙈🙈💩<LF><LF>امشي انت ي ماسورهه💔💩,NOT_OFF,NOT_HS
183,@USER الجوهره يتسع ل٦٠ الف 😣!!!<LF>٨٤ الف كذبه و تواردت ..,NOT_OFF,NOT_HS
184,"روح روح 🤢😂☝🏻#ليلى_اسكندر &gt;&gt;اندمجت😑<LF>""<LF><LF>m.inqtr<LF>m.inqtr<LF>m.inqtr<LF>حساب تنزل فيه يومياتها والأماكن… URL",NOT_OFF,NOT_HS
185,سحقا لك ولامثالك 😡😡 URL,OFF,NOT_HS
186,@USER اللقطه الختاميه الي امس😠,NOT_OFF,NOT_HS
187,RT @USER لما تكون بتتفرج ع الماتش وامك تقولك هات قناه زي الوان😂😎👊 URL,NOT_OFF,NOT_HS
188,الله يجعلني كليجا بس 🐑 #بايع_الكليجا URL,OFF,NOT_HS
189,المشكلة دلوقتي يا جماعة ان بكرة مش الجمعة!<LF>ولا بعده الجمعة!!<LF>وخد التقيلة بقي بعد بعد بكرة كمان مش الجمعة!!!<LF>😟😔😱😠,NOT_OFF,NOT_HS
190,#كله_بيتعوض_الا<LF>الفلووس ال بتبقا ف البنطلون ويتغسل بيهم😞😞👊,NOT_OFF,NOT_HS
191,احسه*<LF>وبعد اقول فهمتو 😭🔪,NOT_OFF,NOT_HS
192,@USER معلش يا زاتو كلنا لما بنكون مضايقين مش بنحب نتكلم 😍وهي رخمة اما بتبقي زعلانة 😂👊,NOT_OFF,NOT_HS
193,احلام و اليسا ينعن ام الشخصيات الخرا متصنعات اكووووووووه ياربي 😷😷😷🤧,OFF,NOT_HS
194,@USER 👊👊👊النت اهم حاجه بالدنيا,NOT_OFF,NOT_HS
195,"@USER رجعوووووها لسعرها الاولي أفضل ,👍,, 16 ريال وقابلين بدون 🥃بيبسي <LF><LF>نبغى عرض خرافي نفس لي راح اشتر وحده 🥧 والثانية بريال 😍<LF><LF>لا تخلونا نروووح للمنافسين لكم 😡",NOT_OFF,NOT_HS
