id,text,Emotion,Offensive,Hate
3717,عطونا الدوري خلاص 💙🤩<LF><LF>#الهلال_العدالة,anticipation,no,
3312,@alaa_saeed88 حسبي الله ونعم الوكيل ارحلوووووو وقفلو الباب وراكم وخلونا بلا اي نشاط رياضي ان لزم الامر ،ارحم من المهزله اللي قاعده تصير واتركو لنا الذكرى والامجاد السابقه ارحم من هذا العبث كفااااااااااااايه,anger,yes,not_hate
3412,RT @Fatmalshamsi7: الاتفاق الإماراتي مع الكيان الصهيوني يسيء لنا كإماراتيين ولا يمكن أن نقبل به .. https://t.co/zV7XJDPzc9,anger,no,
7612,#مطلبنا_التاهيل_التربوي_المباشر<LF><LF>#مطلبنا_التاهيل_التربوي_المباشر <LF>التأهيل التربوي المباشر<LF><LF>نطالب بالالغاء اختبارات التأهيل <LF>وفتح المجال للجميع للداراسة<LF>ف السلطنة<LF><LF>او فتح المجال ف الخارج للدراسة,anticipation,no,
1362,هو مره يحبها😢 وهي مغرقته حب وحنان😢 https://t.co/D6lroALuXd,love,no,
4080,أوروبا كانوا متناحرين والحرب العالميه الأولى دمرتهم كلهم مع ذلك اتفقوا ، متى نتفق كخليج واحد ونزيل كل هالحواجز 😊 #المنافذ_البريه https://t.co/jTpsXC6rTO,anticipation,no,
1212,RT @MehadAnwer: نفسي أدخل جسمي أرتب عمودي الفقري و أزيتـه وأولع بخور وأشغل قرآن وأطلع.,sadness,no,
1876,@R0QnsL7ciUtckW8 الجزء الي فوق لا الجزء الي تحت اه👍🔥,neutral,no,
3574,@Nawrsdjla @EdyCohen لعنة الله على الحشد ليووم الدين,anger,yes,not_hate
2887,RT @mokh_200: لا نامت أعين الجبناء والعملاء https://t.co/w2sZu5gcNg,anger,no,
4067,RT @taGReeed_1: #اسقاط_بقايا_الولايه140 <LF>فالتسسقط وتصير المراة مواطنه كاملة الاهلية,anger,no,
6846,@yemeny604 فلما صار سباحا لبس مايوه ...<LF>هم اذا تمردغوا في جبهة<LF>يرجعوا يلقوا اللوم بيناتهم البين ويكشفوا عن تقصير البعض ويتلاعنوا بيناتهم البين ... ولامابش الخبر هذا يقولولك انسحاب دجاجي,disgust,no,
6041,@SamiAlharirii المدرعم يحسب الدعوى حقوق وحب خشوم وطلبات <LF>ضعيف ما تعود على دق الخشوم وكسر العظم هذي اسياء ماهيب على هواك ومزاجك وبياخذها الزعيم العالمي رغم انف أمنياتك,anger,yes,not_hate
4250,رفضوكم كبار وصغار مافرقت حركو انتم وتحديكم الفاشل,disgust,yes,not_hate
1170,@ALEEIDI @haseelapp @Ibraniesta_08 اهلا اسماء، يرجى منك فتح الرسائل الخاصه لنتمكن من التواصل معك,anticipation,no,
579,@gn_softmingi يمه ودلبس ياحلوك تجننين موووتتتتت😭😭اخخخ الايديدتتت بقلبي,love,no,
2182,RT @dheyab_alshater: #قانية<LF>الابطال ينكلون بالعدو الحوثي في معركة شرسة لاتزال مستمرة منذ ساعات<LF>#مارب<LF>#اليمن,neutral,no,
8090,عينكم على اخر مقطع 😂😂😂😂<LF>انفخوا في زباله الدوري ما اوصيكم <LF>عنده ديفيز يفوز ٨٠ قلتوا لي مستعد احلف ما يفوز شيء هل المختنق https://t.co/0GvSYKSHKt,pessimism,yes,not_hate
3153,@AlArabiya_Seha الله يلعن وجوهكم يامفرخ ويلعن اخباركم,anger,yes,not_hate
1833,ثـــوب راحــــــــه 👏 تسوق وانت مرتاح👍<LF><LF>احصل عليه الان على #متجر_العقيلي 🚕الشحن لكل مناطق المملكه 👈<LF>https://t.co/yw9PBACtcW<LF><LF> #شماغ #تخفيضات #عرض_خاص #شماغ_ابيض #شماغ_جيفنشي #ماركة_ايطالية #شماغ #تسوق #شماغ_العطار #العطار #شماغ_انجليزي #ثوب #ثوب_راحه https://t.co/0s55xJzYOS,neutral,no,
4629,1994: كنت انتظرررك تحطيين😢 كلامك لي ذاك اليوم مره كان حلو يمكن كنت بوقت احتاج احد يكلمني؟ واتمنى اني اتعرف عليك اكثرر🥺,anticipation,no,
1859,الزول الشايف انو شيخ وعادي ينزل تويته زي دي يعمل ريتويت https://t.co/7SWGibDuPu,neutral,no,
3024,@__jpj الهلفوت دا يبقا ابوك ي بوااب,anger,yes,hate
2917,اين حقوقنا ايتوها الاداره اما يكفيكم بما تفعلونه بنا من اهمال وتهميش عمل 12ساعه لا اكل ولا مسكن ولا معقمات ولا كمامات اما يكفيكم بما نمر من تعب وارهاق وظرر وسبب اهمالكم وتهميشكم بنا حسبي الله فيكم ونعم الوكيل حسبي الله فيكم ونعم الوكيل  #حقوق_افراد_الامن_والسلامه64 https://t.co/gvwhNgttzb,anger,no,
7737,@chaekloss هو حقير لاتاخذون بوعوده اللي قبلهم تفككو وهو ولا سوا حتى ربع الوعود :) بس يضيع موهبتهم وعمرهم بالانتظار مسوي انه يهتم بالجوده قلع الله وجهه فلسفه على الفاضي,anger,yes,not_hate
4556,@zash_13 الله يديم الصحه والعافيه والبهجه عليك يارررب 🙏🏻❤️,love,no,
4057,@J2J2d مو من جدكم للحين ماضفتوني ترا ارد الفولو🙂,anger,no,
387,@7icx2 وبحضنه بلاقي كل الي انا بتمناه :(,love,no,
5627,الحمدالله الحمدالله مبروك ي زعمااء💙💙💙💙.,joy,no,
1032,ذي السنه سنة قطع العلاقات,pessimism,no,
5679,شارك ولا تتردد<LF><LF>سنكفح الضلم و الاستبداد ...<LF><LF>سوف نكفح الفضلم و الاستبداد <LF>بلمسيرات السلميه <LF>او المسيرات الالكترونيه <LF>سنحارب بلميدان <LF>او نحارب لجيش الاكتروني <LF> <LF>#علاء_بن_سهل<LF>@alaa_bin_sahl<LF>#انهيار_العملة_قاتل_آخر,optimism,no,
2488,RT @EremNews: وثائق تثبت دعم #قطر لـ #حزب_الله بالأموال والسلاح رغم تصنيفها له منظمة إرهابية<LF><LF>#إرم_نيوز #قطر_تدعم_حزب_الله https://t.co/V…,neutral,no,
7581,@Ahmedemadani سنواصل في هذه الحملة والتي هي نتاج أفعال البعثة الأممية لليبيا المتمثلة في المبعوثة ستيفاني ودورها المشبوه حول ليبيا بالوقوف صفاً بجانب المليشيات وكل المجاميع ألارهابية ضد أرادة الليبيين الوطنيين الشرفاء ،مع العلم أن مقر البعثة في طرابلس لا يبعد سوء بضع امتار عن المجرمين .,anticipation,no,
3076,@saudiatv الله معكم في كل مجهود تقومو ن به لمصلحة الواطن والمواطن والوافد لكم من الجميع الشكر والتقدير سلمكم الله,love,no,
6432,#هلا_بزوار_الحسين<LF>اهلا وسهلا بزوار الحسين نحن بخدمتكم,joy,no,
6029,@Malju_ فرحتي فيك كبيرة <LF>مبروك التخرج ياقطعة من الروح ❤️,joy,no,
931,الله يرحمك يا معمر كنت شايف كل شي حتى يوم اخترت منافقين تتآمر معهم كنت داري انهم مبزرة و سجلت لهم 😂 <LF>سيشهد لك التاريخ<LF><LF> https://t.co/OVLlCvzr4C,optimism,no,
6127,اللهم صل وسلم وبارك على سيدنا وحبيبنا ونبينا محمد وعلى اله وصحبه اجمعين https://t.co/LfK7hMWe5E,love,no,
691,انا احبه موت وربي ادعي انه يصير زوجي😭❤ https://t.co/RDcFUyXYgm,love,no,
3615,تحاشمو لأتراك و اذناب المجوس <LF>والفيصليّ يحوفهم ف المخاليب<LF><LF>يضرس لو ان الضرس ماهوب مضروس<LF>امن السطر في محمد العز والطيب <LF><LF>وتاطى على الاوغاد واقدامك تدوس<LF>و للحرب سيفك ياعطيب المضاريب <LF><LF>تروس روس الروس وتقدي الروس<LF>ورجمك تعلى فوق روس المراقيب <LF>@Turki_alalshikh https://t.co/ugJ7ZPAxEe,anger,yes,hate
1891,في الوقت اللي طال عمره نزل علي صفحته بوست شابوه سيف زاهر <LF>كانت هناك عربية محملة بالرز البسمتي متجهة الي منزل المعرص 😂,neutral,yes,not_hate
2268,للعلم وصلنا 4500 اصابة يا وزارة التربية <LF>انقذوا طلاب السادس اعدادي.😬<LF> #التاجيل_حقنا_احسموا_امرنا  ⁧ <LF>@firasalsarrai  @ahmedalbasheer1  @alialkhalede ⁩,anger,no,
6859,روى الصدوق في عيون أخبار الرضا باب فيما جاء عن الرضا عليه السلام من الأخبار المنثورة بسنده عن الفضل شاذان قال سمعت الرضا عليه السلام يقول :<LF><LF>لما حمل رأس الحسين بن علي عليه السلام إلى الشام أمر الملعون فوضع (الرأس) ونصبت عليه مائدة فاقبل هو وأصحابه يأكلون ويشربون الفقاع .,anger,yes,not_hate
3422,على صفحات عيناي<LF>حار فيك الفكر<LF><LF>كتبت الف مرة ومرة<LF>الحب الذي يتملكني<LF><LF>من الصعب التعبير عنه<LF>أنا مستاء من نفسي<LF>لماذ ؟<LF><LF>لا استطيع الكلام<LF>صمتي عقابي !<LF>قلبي يفكر !<LF><LF>ومع ذلك لازلت<LF>لا أدري ؟<LF>بقلمي✍️ #سفيرالمحبة 💙💫 https://t.co/5Uw4V2gYPp,love,no,
6997,RT @OmarKhalil4444: والله زمان وبعودة .. ليلة ابوهم ليلة سودة<LF>#السيسي_كذاب_أشر<LF>#مش_عايزينك_ونازل_20_سبتمبر https://t.co/glA1Uztr9n,disgust,yes,not_hate
5808,عبدالله بن زايد يجهل مكان التوقيع على #اتفاق_العار .. فما بالكم بمعرفة محتوى الإتفاق ..؟!<LF>باعوا #الامارات وشعبها للكيان الإسرائيلي ..<LF><LF>#العيال_كبرت #التطبيع_خيانة #التطبيع_الاماراتي_الاسرائيلي #فلسطين_قضيتي #صفقة_القرن https://t.co/xlouKf0hMA,anger,yes,not_hate
7437,ما يحصل اليوم هو نتيجة طبيعية لحكم الزعران .<LF>بلد عكف عفريت و الزعران بدا حصصها.<LF>#العهد_الفاشل https://t.co/FLZQf0Ejlg,anger,yes,not_hate
44,@hrh_el شعب ذليل داعس عليكم العصملي,disgust,yes,hate
3558,@7orQatari @monther72 هذولا الاخونج واغبياء العرب يرون القذاءة في عين اخيهم ولايرون الجذع في اعينهم,disgust,yes,hate
5957,RT @hureyaksa: هذا الطبلة يقول:<LF>(إسرائيل أشرف من تركيا وقطر والإخوان المسلمين)<LF><LF>ردوا عليه أنتم .. https://t.co/yLjjbhmatw,anger,no,
7758,RT @iAsma_HS: المنافق جمال ريان يغني اغنية يهودية وطنية باللغة العبرية👇👇 https://t.co/6CPwQzizZ7,anger,yes,not_hate
6119,@mrmmmm4ms @tha___Queen الكره والحقد اللي يحملونه للهلال يخليهم يسوون اي شىء ضده,anger,no,
5466,@mhisen_mohamed حسبي الله .<LF>هل يعني ان رفرفة علم ثمنه دماء شباب ليبيا على خرقة مرسوم فيها النجمه الخماسبه حسبي الله ...<LF>اللي اصوله فيها الدم اليهودي يعديلهم ما مسكنا حد,disgust,yes,not_hate
3621,@FSHh5p @Samiasalm90 مشكلتنا مع موفق ، فساد موفق ، اجرام موفق ، سوء ادارة موفق ، السيدة لا دخل لها دعونا لا نسخر من اشكال الاخرين ثقافة التنمر و العنصرية ضد النساء شيء مقزز !,disgust,yes,not_hate
6739,#قرار_التعيين_الاهلي_مرفوض قراراتكم اصبحت كمياه ضحلة لن تروى عطش طموحاتنا ،،اسكبوها على انفسكم كي تتعبقوا بنتانتها 🤢,anger,yes,not_hate
1683,@iimbmi اووه ما انتبهت انها كاتمتك وش قلة الادب بلكيها بلكيها,disgust,no,
6580,@LaylaaH1_ كلام جدا جمييييل 👏🏼👏🏼<LF><LF>شكرا أستاذه / ليلى 🌷,love,no,
3582,قوليله ربنا ما يحطك ف ظروف زي الي اتحطينا فيها وانا راضيه بمجموعي وعاجبني وطز ♥️♥️♥️مجموعك قمر اصلا 💕💕💕 https://t.co/MmNeyvHvsM,optimism,no,
6239,سيجارة واحدة في فم فتاة كافية لتجعل كل المارّة يحدقون بها ،<LF>اولئك المارة الذين سوف يصيبهم العمى ان تعرضت ذات الفتاة للتحرش أمام أعينهم .,anger,no,
63,@LadyShere الف مبروووك بالتوفيق ان شاء الله,joy,no,
617,بعكس حلوو مرره 🥺+ وشسمه بروح اسمع أغانيه.. https://t.co/E5m0tn3a6x,love,no,
4512,@tt__g9 @nawaf_sayar سُبْحَﭑنَﷲ͜وَبحَـــــــمّدِھِْ<LF> سُبْحَﭑن_َﷲ͜ﭑلعَظِيّـــــﻣْ” ↓<LF> ﷺ❥ םבםב ❥ﷺ<LF><LF>سُبْحَﭑنَﷲ͜وَبحَـــــــمّدِھِْ<LF> سُبْحَﭑن_َﷲ͜ﭑلعَظِيّـــــﻣْ” ↓<LF> ﷺ❥ םבםב ❥ﷺ<LF><LF>#اذكار_المساء <LF>#وبل_السحاب_للدعم,optimism,no,
5719,الماتش خلص؟ تعالي بقا انا ساكت من ساعتها انت ابن وسخه ليه يا ابراهيم يا لقطه انت؟ https://t.co/Nxiy3Hy45D,anger,yes,not_hate
227,عاجل | متحدث وزارة الصحة: المملكة تشارك بكل الجهود العالمية لدعم جميع الأبحاث ودعم توفير لقاحات أو علاجات ناجحة لمقاومة هذا الفيروس. https://t.co/owYSXABSu9,neutral,no,
8066,@FQmsk اي والله .. ماخذين السالفه عبط وفله ونسوا انهم يتعاملون مع روح,anger,no,
5903,@SaudiDecisions يستاهل نعم الأخلاق والتواضع كانت تصادفني الفرص بمقابلة عدة مرات بمواسم الحج بمشعر منى <LF><LF>،<LF>أسأل الله لكم التوفيق والنجاح سمو الامير بدر,love,no,
3721,#حزب_الله_سرطان_لبنان #لبنان__ينتفض بعد ما قتلت الشرعية الشعب ودمرت بيروت وبعد ماذا سنلتف حول الشرعية عندما تعدون ضحايا الشعب ردوا جو ورالف وكل صحية ردوهم الى الحياة هل تعلم يا ارسلان ان اهمال المتفجرات جريمة مثلها مثل غيرها,anger,yes,not_hate
3377,@Almajlliss الله يحفظه بو فيصل الشيخ نواف❤️,love,no,
969,عندما تتوطن قيادات المدارس الاهليه والعالميه يعني مافيه معلمه سوريه اويمنيه أو اردنيه تهرب مع الأبواب السريه في حال التفتيش . مافيه سعوده وهميه. السؤال هنا كم مدرسه راح تهدد بالتقفيل في حال تنفيذ القرار وكم ستتجاوب اتمنى تعين القيادات من قبل الوزاره منعآ للتحايل. https://t.co/r7OlBc3276,neutral,no,
1805,@anazimd جزاك الله خير، الله يوفقك ويحميك من كل شر.,optimism,no,
2447,ما مصير السنة الدراسيّة؟<LF>https://t.co/UDdNhohSAJ,anticipation,no,
3429,لسه في قلبي كلاممممم قبل جرحححك ابتسامم,sadness,no,
2688,6000 ريال وتنتهي معاناتهم الله يجعلها في ميزان حسناتكم وثواب لوالديكم<LF>👇👇<LF>رقم الفاتوره 1927653740<LF><LF>#فرجت_والرجا_فالله<LF> #النصر_الوحده https://t.co/Mtp2MCPxEK,optimism,no,
4672,لو اني بنيه كان هسه مدحتوني,anger,no,
6260,@liliyme1 مساء النور والسرور ..🌹🍵<LF><LF>🙏<LF><LF>وصفحتك كلها ذوق وجمال وابداع كذلك يزيدني فخر واعتزاز فيك وبمتابعتك ويسعد ويسلم قلبك على كلامك الجميل ..👌👏👏 https://t.co/DrLpnD7pei,love,no,
4474,ما يكفينا ترند أو حلقتين من برنامج <LF>#من_الصفر نحتاج فلم وثائقي يحكي قصة هذا الرجل العظيم والمثال المُشرف في خدمة دينه ووطنه 🇸🇦✔️<LF><LF>-تخيلوا أنّ هذا العظيم ابن وطننا كثير من الجنسيات الأخرى يعتبرونه قدوة ونموذج في الإخلاص 🙏♥️<LF><LF>هل كان مليونير؟🤷🏻‍♂️ لا ، عشانه مُخلص<LF><LF> #غازي_القصيبي https://t.co/S6A9QhbQ77,love,no,
5121,اعلام العار والضلال <LF>اعلام جبان قبيض ، تديله اللقمة فى بقه ينبح عاللى انت عاوزه .. انت تؤمر هات فلوس بس وقبضنى وملكش دعوة<LF>عاوز تهد فريق عريق بكلام ونقد واشاعات تحت امرك بس متنساش الرز يا طال عمرك<LF>#فايق_وزاهر_اعلام_عاهر,anger,yes,not_hate
1860,@EremNews البقرة هذي كل اهل الحارة يحلبونها,neutral,no,
4743,اي وحده مو مع النسويات وضدهم انتي عبده ذكور,disgust,yes,hate
7829,تحديث :<LF>زوجي صار يستخدم عبارات غزل جديدة علي وفيه بقلبي شي يصرخ (هذا مو انت خلاص ارجع طبيعي !!) https://t.co/Pvkwa7LBI3,anger,no,
6787,RT @WALAAMa17563597: مفيش حاجه اسمها صحاب..<LF>#ضيعت_فلوسك_ف,pessimism,no,
6752,@MouFathi كل سنة وأنت طيب وبخير دائما يارب⁦🎂<LF>وتحقق كل اللي بتتمناه ⁦♥️⁩,optimism,no,
252,RT @saba_meqdadi: كنت احل مشاكلي بالنوم هسا نومي صاير مشكله,sadness,no,
7536,حد سمع اغنيه حماقى بتاعت ليلى؟  لو لأ جربوا تسمعوها كده,anticipation,no,
7778,المبعوث الاممي الى اليمن السيد جريفيثس يمزقه القلق خوفا على العملية السياسية والحل السياسي في حالة استكمل الجيش واللجان الشعبية السيطرة على مارب! لكن استمرار العدوان والاحتلال والحصار والتجويع والدمار والقتل السعودي الاماراتي لليمن المتواصل للعام السادس على التوالي يطمئنه جدا!!,anger,yes,hate
1789,@d70jmk @ARAB1_ARMY @BTS_twt نشرت قناتك في مجموعتي و عند ارميز في واتساب ♥️ استمري,optimism,no,
6470,@last_knights_iq @Salehalhamadani دكتور شدعوة هلگد متفائل اذا عندك معلومة گولها,optimism,no,
2059,https://t.co/b1RQ2H4mxZ<LF><LF>مساعد رئيس الأمن العام لشئون العمليات والتدريب: 21646  مخالفة عدم ارتداء كمامة الوجه منذ بدء تطبيق القرار<LF><LF>https://t.co/KfSgwnMaDt<LF><LF>#Bahrain #البحرين #أخبار #الوطن #,neutral,no,
4626,@EbrahimShalata البوستات دى بتتكتب مخصوص لمهاجمة وزير الاوقاف وشيطنته مش لنصرة الفقير<LF>اذا كان الكلام اللى مكتوب على صورة وزير الاوقاف ده فعلا وهو صرح بيه يبقى الموضوع مالوش علاقة بغنى وفقير لكل مقام مقال<LF>لما الدولة كانت ضعيفة ف 2011 الكل نهش فيها وتأمر عليها وجابوها الارض,pessimism,no,
7296,@fatma_qasem صباح السعادة والفرحة من القلب 😍😍😍,joy,no,
5518,@gmailco50586854 ربنا بخدها هي وامثالها اشكال الدمار والخراب اللهم لا شماته يا رب عليهم جميعا,anger,no,
1902,RT @ahmedtarek__s: ٣ ديانات فى صورة واحدة https://t.co/9sRqQ4qnMW,neutral,no,
2119,RT @TurkiShalhoub: مظاهرات في الجزائر ضد تطبيع #الإمارات مع إسرائيل.. وسط ترديد هتافات: إمارات خونة. https://t.co/dPtG61XJ4y,neutral,no,
6505,انا مو قادر اسيطر علي لان اعاني من اشياء عجزت وانا اشكيها لنفسي وماقدرت اغيره اخرجوني من هذي الحياه الكئيبه,sadness,no,
3985,الف الف مبروووك للزعماء شي مش غريب الفوز عليكون <LF>بحبكون<LF>💙💙💙💙,love,no,
3213,الامارات والسعودية انتظروا ماذا سيحل في مدنكم قريبآ جدآ واقسم لكم بمن تم غدرهم في مطار بغداد ..<LF>#كويتي_وافتخر ⁦🇰🇼⁩<LF>لطفآ اعمل رتويت ليصل كلامي الى ال سلول وعصابة اولاد زايد,anticipation,no,
5987,صح لسانك وسلمت يمناك قلت الحقيقه كل الخراب والحرب الاقتصاديه والكهرباء وانقطاع الرواتب منذوا ان تسلمت السعوديه الامور بدل الامارات تحول الجنوب الي، اسوء حال نتمنى ان تخرج السعوديه فهي لم تعد مرغوب بوجودها اذا لم تغير اسلوب وطريقة ادارتها في الجنوب https://t.co/EldSeWKfU6,pessimism,no,
4174,معي صداع من نومتي الخايسه ومن قعدت من النوم مالي نفس اكل 💔,sadness,no,
